action,behavior_coarse,count
Lie down and initiate the sleep process,睡眠相关,1
Lie down and practice relaxation techniques to promote sleep,睡眠相关,1
Lie down and take a few deep breaths to relax,睡眠相关,1
Lie down and transition into a state of relaxation before sleeping,睡眠相关,1
Lie down in a comfortable position,睡眠相关,1
Lie down in bed and adjust the pillows to a comfortable position,睡眠相关,1
Lie down in bed and adjust the room temperature if necessary,睡眠相关,1
Lie down in bed and adopt a comfortable sleeping position,睡眠相关,1
Lie down in bed and allow the body to relax,睡眠相关,1
Lie down in bed and close the curtains to create a dark environment,睡眠相关,1
Lie down in bed and close the eyes to drift off to sleep,睡眠相关,1
Lie down in bed and close the eyes to initiate sleep,睡眠相关,1
Lie down in bed and close your eyes,睡眠相关,1
Lie down in bed and focus on breathing deeply to calm the mind,睡眠相关,1
Lie down in bed and focus on relaxation techniques,睡眠相关,1
Lie down in bed and focus on relaxing breathing techniques,睡眠相关,1
Lie down in bed and focus on winding down for sleep,睡眠相关,1
Lie down in bed and get comfortable,睡眠相关,1
Lie down in bed and initiate the sleep process,睡眠相关,1
"Lie down in bed and practice a relaxing sleep-inducing activity, such as deep breathing or meditation",睡眠相关,1
Lie down in bed and prepare to fall asleep,睡眠相关,1
Lie down in bed and start winding down,睡眠相关,1
Lie down in bed at a suitable time,睡眠相关,1
Lie down in bed at an appropriate time for rest,睡眠相关,1
Lie down in bed in a quiet room,睡眠相关,1
Lie down in bed in a relaxed position,睡眠相关,1
Lie down in bed in a restful position,睡眠相关,1
Lie down in bed to fall asleep,睡眠相关,1
Lie down in bed to initiate sleep,睡眠相关,1
Lie down in bed to initiate the sleep process,睡眠相关,1
Lie down in bed to sleep,睡眠相关,1
Lie down in the bed and adjust the position to your comfort,睡眠相关,1
Lie down in the bed and assume a comfortable sleep position,睡眠相关,1
Lie down in the bed and assume a comfortable sleeping position,睡眠相关,1
Lie down in the bed and close the eyes to initiate sleep,睡眠相关,1
Lie down in the bed and prepare for sleep,睡眠相关,1
Lie down in the bed and relax,睡眠相关,1
Lie down in the bed and start to drift off to sleep,睡眠相关,1
Lie down in the bed and take a moment to relax,睡眠相关,1
Lie down in the bed in a comfortable position,睡眠相关,1
Lie down in the bed to begin the sleeping process,睡眠相关,1
Lie down in the bed to initiate the sleep process,睡眠相关,1
Lie down in the bed to sleep,睡眠相关,1
Lie down in the bed to start winding down,睡眠相关,1
Lie down in the bed to start winding down for sleep,睡眠相关,1
Lie down in the comfortable bed,睡眠相关,1
Lie down in the prepared sleep environment and drift off to sleep,睡眠相关,1
Locate a comfortable outdoor seating area,家居环境管理,1
Locate a quiet and comfortable outdoor area to sit,放松与情绪调节,1
Locate the nearest shopping center,购物采购,1
Lock the door for security,其他,1
Log into work-related accounts,数字设备与账号操作,1
Maintain a calm and restful atmosphere,放松与情绪调节,1
Maintain a comfortable room temperature,家居环境管理,1
Maintain a comfortable sleep position,睡眠相关,1
Maintain a comfortable sleeping position,睡眠相关,1
Maintain a relaxed and comfortable posture to ensure restful sleep,睡眠相关,1
Maintain current location as it is home,其他,1
Make a cup of tea or coffee to relax,放松与情绪调节,1
Make a reservation or wait for an open table if necessary,其他,1
Make purchases from the shopping list,购物采购,1
Monitor comfort throughout the sleep period,睡眠相关,1
Navigate to preferred stores within the shopping center,购物采购,1
Navigate to the chosen eatery,其他,1
"Navigate to the shopping center, considering the sunny weather and comfortable temperature",购物采购,1
Obtain the identified food item,饮食相关,1
Obtain the menu and decide on a meal to order,饮食相关,1
Open the app and select the option to request a taxi,数字设备与账号操作,1
Order a meal that suits your mood and preferences,饮食相关,1
Order food and enjoy the meal,饮食相关,1
Order food and enjoy the meal outside,饮食相关,1
Order food or select items from a menu,购物采购,1
Pack essentials like water and sunglasses,其他,1
"Pack essentials such as wallet, keys, and sunglasses",其他,1
Park the car and enter the shopping center,购物采购,1
Pay for the purchases and carry them back home,其他,1
Perform a brief relaxation exercise,放松与情绪调节,1
"Perform a calming activity, such as reading or listening to soft music, to ease into sleep",睡眠相关,1
Perform a relaxing activity to ease into sleep,睡眠相关,1
Perform a short meditation or yoga session to enhance tranquility,放松与情绪调节,1
Perform any necessary relaxation or pre-sleep routine,睡眠相关,1
Perform bedtime routine,睡眠相关,1
Perform light stretching or relaxation exercises,放松与情绪调节,1
Perform pre-sleep routine,睡眠相关,1
Perform relaxation techniques to wind down,睡眠相关,1
Perform the shopping tasks as listed on the shopping list,工作任务,1
Pick up the phone,数字设备与账号操作,1
Pick up the phone and call a friend,数字设备与账号操作,1
Pick up the phone and dial the first friend's number,数字设备与账号操作,1
Pick up the phone or activate the video call device,数字设备与账号操作,1
Pick up the phone to call a friend,数字设备与账号操作,1
Plan the mode of transportation to reach the chosen dining location,饮食相关,1
Plan the route based on the distance to the nearest shopping center,购物采购,1
Plan the route to the nearest grocery store,购物采购,1
Plan the route to the nearest shopping center,购物采购,1
Plan the route to the nearest shopping center considering weather and time,购物采购,1
Plan the route to the shopping destination,购物采购,1
Plan the shopping route,购物采购,1
Postpone any non-essential activities to ensure time for the meal,饮食相关,1
Practice a relaxing bedtime routine,睡眠相关,1
Practice calming techniques if needed,放松与情绪调节,1
Practice deep breathing or meditation to calm down,放松与情绪调节,1
Practice deep breathing or meditation to induce sleep,睡眠相关,1
Practice deep breathing to induce sleep,睡眠相关,1
Practice gentle relaxation techniques to aid in falling asleep,睡眠相关,1
Practice relaxation techniques to facilitate the onset of sleep,睡眠相关,1
Practice relaxation techniques to promote sleep,睡眠相关,1
Practice relaxation techniques to unwind,放松与情绪调节,1
Preheat the oven for cooking,饮食相关,1
Prep the bedroom for sleep by adjusting the temperature and light,睡眠相关,1
Prepare a calming cup of tea,放松与情绪调节,1
Prepare a calming morning beverage,放松与情绪调节,1
"Prepare a comfortable sleeping environment, ensuring the bed is made and the room is quiet",睡眠相关,1
Prepare a comfortable sleeping position,睡眠相关,1
Prepare a comfortable sleeping space,睡眠相关,1
Prepare a cup of tea or coffee to enjoy during relaxation,放松与情绪调节,1
Prepare a nighttime routine,其他,1
Prepare a relaxing bed with fresh sheets,睡眠相关,1
Prepare a shopping bag,购物采购,1
Prepare a shopping bag or basket,购物采购,1
Prepare a shopping bag or cart,购物采购,1
Prepare a shopping bag or list for ease of mobility,购物采购,1
Prepare a sleeping environment,睡眠相关,1
Prepare a small bag with essentials,其他,1
"Prepare a suitable sleep environment, such as changing bedding",睡眠相关,1
Prepare and enter the home environment,家居环境管理,1
Prepare and leave home for the store,购物采购,1
Prepare any necessary nighttime items,购物采购,1
"Prepare any necessary personal items (e.g., pillow, blanket) to enhance sleep comfort",购物采购,1
Prepare any personal items or special requests for the meal,购物采购,1
Prepare for a comfortable sleeping environment,睡眠相关,1
Prepare for a restful sleep,睡眠相关,1
Prepare for a short walk or drive to the store,购物采购,1
"Prepare for bed (brush teeth, wash face, etc.)",睡眠相关,1
"Prepare for bed (change into comfortable clothing, set up pillows and blankets)",睡眠相关,1
Prepare for bed by brushing teeth and changing into comfortable pajamas,睡眠相关,1
Prepare for bed by changing into comfortable clothes,睡眠相关,1
Prepare for bed by changing into comfortable sleepwear,睡眠相关,1
Prepare for bed by setting up the bedroom,睡眠相关,1
Prepare for bed by turning off electronic devices,数字设备与账号操作,1
Prepare for bed with appropriate attire,睡眠相关,1
Prepare for bed with comfortable attire,睡眠相关,1
"Prepare for bed, change into comfortable sleepwear",睡眠相关,1
"Prepare for bed, including changing into comfortable pajamas",睡眠相关,1
"Prepare for bed, including dressing in comfortable attire",睡眠相关,1
"Prepare for bed, including washing up and changing into comfortable clothes",睡眠相关,1
Prepare for bedtime,睡眠相关,1
Prepare for bedtime by changing into comfortable nightwear,睡眠相关,1
Prepare for bedtime by dimming lights,睡眠相关,1
Prepare for bedtime by setting the environment to a comfortable temperature,睡眠相关,1
Prepare for bedtime routine,睡眠相关,1
Prepare for rest by ensuring a comfortable environment,睡眠相关,1
Prepare for rest by ensuring comfort,睡眠相关,1
Prepare for rest with comfortable bed settings,睡眠相关,1
"Prepare for sleep (e.g., take off heavy clothing, set up the bed)",睡眠相关,1
Prepare for sleep by adjusting the room temperature,睡眠相关,1
Prepare for sleep by adjusting the room temperature to 23C if necessary,睡眠相关,1
Prepare for sleep by changing into comfortable pajamas,睡眠相关,1
Prepare for sleep by dimming lights and adjusting room temperature if necessary,睡眠相关,1
Prepare for sleep by dimming lights and setting the room temperature,睡眠相关,1
Prepare for sleep by dimming lights if necessary,睡眠相关,1
Prepare for sleep by ensuring a calm environment,睡眠相关,1
Prepare for sleep by ensuring the environment is comfortable,睡眠相关,1
Prepare for sleep by ensuring the room is comfortable,睡眠相关,1
Prepare for sleep by setting a calming environment,睡眠相关,1
Prepare for sleep by setting up the bed,睡眠相关,1
Prepare for sleep by setting up the bedroom,睡眠相关,1
Prepare for sleep by setting up the environment,睡眠相关,1
Prepare for sleep by turning off electronic devices,数字设备与账号操作,1
Prepare for sleep by turning off electronics,睡眠相关,1
Prepare for sleep by turning off the lights,睡眠相关,1
Prepare for sleep by winding down and avoiding electronic devices,数字设备与账号操作,1
"Prepare for sleep, including changing into comfortable pajamas",睡眠相关,1
"Prepare for sleep, such as adjusting the room temperature and lighting",睡眠相关,1
"Prepare for the trip, ensuring all personal items and necessary transportation are in order",购物采购,1
Prepare necessary bedtime items,购物采购,1
"Prepare necessary items for bedtime (e.g., glasses, medication)",购物采购,1
Prepare necessary items like transportation (if needed) and clothing (for weather conditions),购物采购,1
Prepare or purchase food to be eaten outside,购物采购,1
Prepare or select food to eat,饮食相关,1
Prepare sleep environment,睡眠相关,1
Prepare sleep environment with appropriate clothing and bed settings,睡眠相关,1
Prepare sleep space,睡眠相关,1
Prepare sleeping area,睡眠相关,1
Prepare sleeping area for relaxation,睡眠相关,1
Prepare sleeping area if necessary,睡眠相关,1
Prepare the bed,睡眠相关,1
Prepare the bed for a good night's sleep,睡眠相关,1
Prepare the bed for a restful sleep,睡眠相关,1
Prepare the bed for comfort,睡眠相关,1
Prepare the bed for sleeping,睡眠相关,1
Prepare the bed with clean sheets and pillows,睡眠相关,1
Prepare the bedroom by adjusting the temperature and lighting,睡眠相关,1
Prepare the bedroom environment for sleep,睡眠相关,1
Prepare the cooking area,饮食相关,1
Prepare the dining area,饮食相关,1
Prepare the food for consumption,饮食相关,1
Prepare the food item,饮食相关,1
Prepare the sleeping area (adjust temperature if necessary),睡眠相关,1
Prepare the sleeping area for comfort,睡眠相关,1
Prepare the sleeping area with comfort in mind,睡眠相关,1
"Prepare the sleeping environment (adjust room temperature, if necessary)",睡眠相关,1
Prepare the sleeping environment for comfort,睡眠相关,1
Prepare to drift into sleep,睡眠相关,1
Prepare to eat at the selected location,饮食相关,1
Prepare to eat the selected meal,饮食相关,1
Prepare to fall asleep,睡眠相关,1
Prepare to have a meal at home,饮食相关,1
Prepare to leave home for the shopping destination,购物采购,1
Prepare to rest,睡眠相关,1
Prepare to rest by winding down,睡眠相关,1
"Prepare to wind down, possibly with a calming activity",睡眠相关,1
"Prepare transportation (e.g., car, public transport) considering the weather and temperature",家居环境管理,1
Prepares for sleep,睡眠相关,1
Prepares the kitchen for cooking,饮食相关,1
Purchase food or order delivery,购物采购,1
Purchase items from the shopping list,购物采购,1
Purchase the necessary items,购物采购,1
Reflect on meal experience,饮食相关,1
Reflect on the day's peace,放松与情绪调节,1
Reflect on the day's peacefulness during the meal,饮食相关,1
Reflect on the day's plans and mood before starting the day,放松与情绪调节,1
Reflect on the day’s peacefulness,放松与情绪调节,1
Reflect on the meal and day's tranquility,饮食相关,1
Reflect on the meal experience and gratitude,饮食相关,1
Reflect on the quiet day while eating,饮食相关,1
Reflect on the tranquility of the day after eating,饮食相关,1
Relax and allow body to rest,睡眠相关,1
Relax and allow myself to drift off to sleep,睡眠相关,1
Relax and allow oneself to fall asleep,睡眠相关,1
Relax and allow the body to transition into sleep,睡眠相关,1
Relax and calm the mind to signal the body for sleep,睡眠相关,1
Relax and clear mind for sleep,睡眠相关,1
Relax and close your eyes,放松与情绪调节,1
Relax and close your eyes to signal to the body it is time to sleep,睡眠相关,1
Relax and focus on breathing to fall asleep,睡眠相关,1
Relax and focus on sleep,睡眠相关,1
Relax and lie down in bed,睡眠相关,1
Relax and practice a calming routine to induce sleep,睡眠相关,1
Relax and prepare mind for sleep,睡眠相关,1
Relax and prepare the mind for sleep,睡眠相关,1
Relax and prepare your mind for sleep,睡眠相关,1
"Relax and rest, as it's a sunny day and you are retired",睡眠相关,1
Relax and settle down for sleep,睡眠相关,1
Relax and settle into sleep mode,睡眠相关,1
Relax and take deep breaths to induce sleep,睡眠相关,1
Relax and take deep breaths to prepare for sleep,睡眠相关,1
Relax and take deep breaths to wind down,睡眠相关,1
Relax and unwind before bedtime,睡眠相关,1
Relax and unwind for a peaceful sleep,睡眠相关,1
Relax and unwind in a comfortable environment,放松与情绪调节,1
Relax and unwind to create a serene bedtime routine,睡眠相关,1
Relax and unwind to enhance sleep quality,睡眠相关,1
Relax and unwind to foster a peaceful sleep,睡眠相关,1
Relax and unwind to prepare the body for sleep,睡眠相关,1
Relax and unwind to signal the body it is time to sleep,睡眠相关,1
Relax and wind down after a day of activities,睡眠相关,1
Relax and wind down after a peaceful day,睡眠相关,1
Relax and wind down before lying down,睡眠相关,1
Relax and wind down before sleep,睡眠相关,1
Relax and wind down from the day's activities,睡眠相关,1
Relax and wind down to induce sleep,睡眠相关,1
Relax and wind down to promote sleep,睡眠相关,1
Relax and wind down to signal the body it is time for sleep,睡眠相关,1
Relax before bed to help with sleep,睡眠相关,1
Relax before bed to induce sleep,睡眠相关,1
Relax before sleep,睡眠相关,1
Relax body and mind before bedtime,睡眠相关,1
Relax for a few minutes,放松与情绪调节,1
Relax for a few minutes before bed,睡眠相关,1
Relax for a few minutes before sleep,睡眠相关,1
Relax for a few minutes to help unwind and prepare for sleep,睡眠相关,1
Relax for a few minutes to prepare for sleep,睡眠相关,1
Relax for a few minutes to unwind,放松与情绪调节,1
Relax for a few minutes to wind down,睡眠相关,1
Relax for a few moments before lying down,放松与情绪调节,1
Relax in a comfortable chair or on the couch,放松与情绪调节,1
Relax in a comfortable position in bed,睡眠相关,1
Relax in a comfortable position in the bedroom,睡眠相关,1
Relax in bed,睡眠相关,1
Relax in bed for a few minutes,睡眠相关,1
Relax in bed to prepare for sleep,睡眠相关,1
Relax in current location to transition into sleep mode,睡眠相关,1
Relax in the living room for a few minutes,放松与情绪调节,1
Relax mentally and physically to initiate sleep,睡眠相关,1
Relax mind and body to prepare for sleep,睡眠相关,1
"Relax mind and body, ready to fall asleep",睡眠相关,1
Relax the body and mind to induce sleep,睡眠相关,1
Relax to settle into a calm state,放松与情绪调节,1
Relax to wind down,睡眠相关,1
Relax with a short nap or meditation,放松与情绪调节,1
Relaxation activities to induce sleep,睡眠相关,1
Relaxation and preparation for sleep,睡眠相关,1
Relaxation and wind down before bed,睡眠相关,1
Relaxation before sleep,睡眠相关,1
Relaxation before sleeping,睡眠相关,1
Relaxation techniques to encourage sleep,睡眠相关,1
Relaxation to promote sleep,睡眠相关,1
Remove any electronic devices that might interfere with sleep,数字设备与账号操作,1
Remove any electronic devices that might keep you awake,数字设备与账号操作,1
Remove any electronic devices to minimize distractions,数字设备与账号操作,1
Remove electronic devices that might interfere with sleep,数字设备与账号操作,1
Remove or cover any distractions,其他,1
Rest after finishing the meal,饮食相关,1
Rest and relax,睡眠相关,1
Rest and unwind following the meal,饮食相关,1
Rest for a while to digest the meal and continue enjoying the quiet day,饮食相关,1
Rest for a while to ensure that you are relaxed after the meal,饮食相关,1
Rest in a comfortable and familiar environment,睡眠相关,1
Retire to bed to sleep,睡眠相关,1
Retire to bedroom,睡眠相关,1
Retire to the bedroom to rest,睡眠相关,1
Retire to your bed,睡眠相关,1
Retrieve a list of contact numbers for friends,社交沟通,1
Retrieve a list of friends' contact information,社交沟通,1
"Retrieve and clean up any personal items needed for social interaction, such as a phone or glasses",数字设备与账号操作,1
Retrieve contacts list,其他,1
Return home from the workplace,工作任务,1
Return home with purchases,出行移动,1
Return to the kitchen,饮食相关,1
Return to workplace,工作任务,1
Review inventory to check for meal ingredients,购物采购,1
Review shopping list,购物采购,1
Review the menu at the selected outdoor dining spot,饮食相关,1
Review the morning's weather forecast,计划与决策,1
Review transportation options and choose one,计划与决策,1
Review weather conditions and dress appropriately,计划与决策,1
Review weather conditions for appropriate attire,计划与决策,1
Secure the home,其他,1
Seek a comfortable seating area,家居环境管理,1
Seek a suitable eating spot nearby,饮食相关,1
Seek out food available outside,饮食相关,1
Select a close friend,社交沟通,1
Select a comfortable space at home for the call,社交沟通,1
Select a comfortable spot at home,家居环境管理,1
Select a comfortable spot in the home for the call,社交沟通,1
Select a communication method,其他,1
Select a convenient place to meet,其他,1
Select a dining option based on availability and suitability,饮食相关,1
Select a meal option,饮食相关,1
"Select a method of communication (e.g., phone, email, social media)",数字设备与账号操作,1
Select a method to contact friends,社交沟通,1
Select a nearby café or restaurant if available,其他,1
Select a nearby eatery if desired,其他,1
Select a nearby grocery store for convenience,购物采购,1
Select a recipe and gather necessary ingredients,饮食相关,1
Select a simple meal option,饮食相关,1
Select a suitable contact method,社交沟通,1
Select a suitable eating spot outdoors,饮食相关,1
Select a suitable food item for breakfast,饮食相关,1
Select a suitable friend to call,社交沟通,1
Select a suitable meal option,饮食相关,1
Select a suitable outdoor dining location,饮食相关,1
Select a suitable outdoor dining location based on availability and comfort,饮食相关,1
Select a suitable outdoor dining location nearby,饮食相关,1
Select a suitable restaurant or location to eat outside,饮食相关,1
Select a suitable time for the call,社交沟通,1
Select a suitable time to call friends,社交沟通,1
Select a suitable time to call or meet friends,社交沟通,1
Select a suitable time to call or message friends,社交沟通,1
Select a time to call friends,社交沟通,1
Select an appropriate recipe for cooking,饮食相关,1
Select and purchase necessary items,购物采购,1
Select appropriate communication method based on current technology availability,其他,1
Select friends to contact,社交沟通,1
Select items from the shopping list and place them in the shopping cart,购物采购,1
Select nearby stores with easy access,其他,1
Select phone or device to call,数字设备与账号操作,1
Select the best time for a call,社交沟通,1
Select the most comfortable way to call my friends,社交沟通,1
Select the most suitable time for a call,社交沟通,1
Select the nearest and most convenient shopping location,购物采购,1
Serve and arrange the meal on the dining table,饮食相关,1
Serve and eat the home-cooked lunch,饮食相关,1
Serve and enjoy the breakfast at home,饮食相关,1
Serve and present the meal,饮食相关,1
Serve breakfast,饮食相关,1
Serve food,饮食相关,1
Serve prepared meal,饮食相关,1
Serve the meal on a comfortable setting,饮食相关,1
Serve the meal on a plate,饮食相关,1
Serve the meal on a suitable tableware,饮食相关,1
Serve the prepared food,饮食相关,1
Serve the prepared meal on plates,饮食相关,1
Set a calming routine to signal to body it's time to sleep,睡眠相关,1
Set a comfortable room temperature,家居环境管理,1
Set a comfortable sleeping temperature,睡眠相关,1
Set a relaxing sleep environment with minimal noise and light,睡眠相关,1
Set a sleep routine,睡眠相关,1
Set a sleep schedule and stick to it to maintain routine,睡眠相关,1
Set a sleep timer or alarm if needed,睡眠相关,1
Set a soothing sleep environment with soft lighting,睡眠相关,1
Set a timer or alarm for sleep,睡眠相关,1
Set an alarm for a reasonable wake-up time,睡眠相关,1
Set an alarm for morning,睡眠相关,1
Set an alarm for morning if necessary,睡眠相关,1
Set an alarm for morning wake-up time if necessary,睡眠相关,1
Set an alarm for tomorrow if necessary,睡眠相关,1
Set an alarm if necessary,睡眠相关,1
Set an alarm if necessary for an early morning routine,睡眠相关,1
Set an alarm if necessary for the morning,睡眠相关,1
Set an alarm if necessary for the next day,睡眠相关,1
Set an alarm if needed for any morning activities,睡眠相关,1
Set an alarm if needed for the next day,睡眠相关,1
Set aside any devices or activities that might interfere with sleep,数字设备与账号操作,1
Set aside any devices to avoid distractions,数字设备与账号操作,1
Set out for the shopping location,购物采购,1
Set out from home to the nearest shopping center,购物采购,1
"Set sleep aids (e.g., white noise machine)",睡眠相关,1
Set the alarm,睡眠相关,1
Set the alarm clock for the next morning,睡眠相关,1
Set the alarm for 8 hours later,睡眠相关,1
Set the alarm for a good night's rest,睡眠相关,1
Set the alarm for a restful sleep duration,睡眠相关,1
Set the alarm for morning,睡眠相关,1
Set the alarm for necessary activities,睡眠相关,1
Set the alarm for the morning if necessary,睡眠相关,1
Set the alarm for the next day (if needed),睡眠相关,1
"Set the alarm for the next day, if necessary",睡眠相关,1
"Set the alarm for the next morning, if needed",睡眠相关,1
Set the alarm for tomorrow,睡眠相关,1
Set the alarm for tomorrow morning,睡眠相关,1
Set the alarm if necessary for a restful sleep,睡眠相关,1
Set the alarm if necessary for the next day,睡眠相关,1
Set the alarm if needed for any morning appointments or routines,睡眠相关,1
Set the alarm if needed for morning activities,睡眠相关,1
Set the alarm if needed for the next day,睡眠相关,1
Set the dining area,饮食相关,1
Set the dining table,饮食相关,1
Set the dining table with utensils and serve the meal,饮食相关,1
Set the environment for sleep,睡眠相关,1
Set the room temperature and lighting to a comfortable level for sleep,睡眠相关,1
Set the room temperature to 23C for comfort,家居环境管理,1
Set the room temperature to a comfortable level for sleeping,睡眠相关,1
Set the room temperature to comfortable level,家居环境管理,1
Set the room to a conducive environment for sleep,睡眠相关,1
Set the table in a comfortable and inviting manner,饮食相关,1
Set the table with appropriate diningware,饮食相关,1
Set the table with utensils and a meal tray,饮食相关,1
Set the time for sleep,睡眠相关,1
Set up a bedtime routine,睡眠相关,1
"Set up a comfortable sleep environment, ensuring it is quiet and conducive to sleep",睡眠相关,1
"Set up a comfortable sleep environment, including adjusting the room temperature if necessary",睡眠相关,1
Set up a relaxing sleep environment,睡眠相关,1
Set up alarm clock for morning wake-up,睡眠相关,1
"Set up any necessary sleep aids (e.g., pillows, blanket)",睡眠相关,1
Set up bed for a comfortable sleep,睡眠相关,1
Set up bed for rest,睡眠相关,1
Set up bed with pillows and blankets,睡眠相关,1
Set up the bed comfortably,睡眠相关,1
Set up the bed for a comfortable sleep,睡眠相关,1
Set up the bedroom to a conducive sleeping state,睡眠相关,1
Set up the bedroom with comfortable bedding,睡眠相关,1
Set up the sleep environment,睡眠相关,1
Set up the sleeping environment,睡眠相关,1
Set up the sleeping environment comfortably,睡眠相关,1
Set up the sleeping environment with comfort in mind,睡眠相关,1
Shop for essential items,购物采购,1
Shop for necessary items,购物采购,1
Sit down at the dining table,饮食相关,1
"Sit down at the dining table, setting a pleasant meal environment",饮食相关,1
Sit down comfortably,其他,1
Sleep in a tranquil state,睡眠相关,1
Sleep peacefully throughout the night,睡眠相关,1
Start breathing exercises to help calm the mind and prepare for sleep,睡眠相关,1
Start the process of falling asleep,睡眠相关,1
Start the sleep process,睡眠相关,1
Stay at home,其他,1
Stay at home as no need to move to a different location,其他,1
Stay at home as the day starts,其他,1
Stay at home due to current location,其他,1
Stay at home to enjoy the tranquility of the quiet day,放松与情绪调节,1
Stay in a state of rest and sleep until morning,睡眠相关,1
Stay in bed for the duration of the sleep target,睡眠相关,1
Stay in bed to relax after the morning reflection,睡眠相关,1
Stay in bed until wake-up,睡眠相关,1
Stay in the current location to maintain comfort,家居环境管理,1
Take a brief nap to rejuvenate,其他,1
Take a comfortable seat,家居环境管理,1
Take a deep breath and allow yourself to drift off to sleep,睡眠相关,1
Take a moment to appreciate the calm of the evening,放松与情绪调节,1
Take a moment to appreciate the peacefulness of the day,其他,1
Take a moment to enjoy the meal's preparation,饮食相关,1
Take a moment to reflect on the day's calmness,放松与情绪调节,1
Take a short walk around the house to maintain mobility,出行移动,1
Take care of any necessary morning medication,其他,1
Take deep breaths and clear the mind,其他,1
Take necessary medication or supplements if required,其他,1
Take necessary medications or care of health if required,其他,1
Take off any heavy clothing to regulate body temperature,家居环境管理,1
Take time to reflect on the quiet day,放松与情绪调节,1
Transition into sleep mode,睡眠相关,1
Travel back to my residence,出行移动,1
Travel to the grocery store to start shopping,购物采购,1
Travel to the nearest shopping area,购物采购,1
Travel to the nearest supermarket or shopping center,购物采购,1
Travel to the selected restaurant or location,出行移动,1
Travel to the shopping center or market,购物采购,1
Travel to the shopping center using preferred mode of transportation,购物采购,1
Travel to the shopping center using the preferred mode of transport,购物采购,1
Travel to the shopping location,购物采购,1
Turn off all electronic devices and embrace the darkness to signal the body for sleep,数字设备与账号操作,1
Turn off all electronic devices and establish a calming routine,数字设备与账号操作,1
Turn off all electronic devices to create a conducive environment for sleep,数字设备与账号操作,1
Turn off all electronic devices to create a sleep-friendly environment,数字设备与账号操作,1
Turn off all electronic devices to ensure a good night's sleep,数字设备与账号操作,1
Turn off all electronic devices to minimize disturbances,数字设备与账号操作,1
Turn off all electronic devices to reduce exposure to blue light,数字设备与账号操作,1
Turn off all electronic devices to relax,数字设备与账号操作,1
Turn off all lights to create a dark environment,家居环境管理,1
Turn off any distracting lights or sounds,家居环境管理,1
Turn off any electronic devices to avoid distractions,数字设备与账号操作,1
Turn off any electronic devices to minimize light and noise,数字设备与账号操作,1
Turn off any lights or electronic devices that might disrupt sleep,数字设备与账号操作,1
Turn off any unnecessary lights to create a comfortable sleep environment,睡眠相关,1
Turn off any unnecessary lights to simulate nighttime,家居环境管理,1
Turn off electronic devices,数字设备与账号操作,1
Turn off electronic devices and establish a calming routine,数字设备与账号操作,1
Turn off electronic devices to ensure a good night's sleep,数字设备与账号操作,1
Turn off electronic devices to minimize light and noise,数字设备与账号操作,1
Turn off electronic devices to promote relaxation,数字设备与账号操作,1
Turn off electronic devices to reduce disturbances,数字设备与账号操作,1
Turn off electronics,其他,1
Turn off lights,家居环境管理,1
Turn off lights to create a conducive sleep environment,睡眠相关,1
Turn off lights to signal the end of the day,家居环境管理,1
Turn off or adjust lighting to a suitable level for sleep,睡眠相关,1
Turn off or dim the lights,家居环境管理,1
Turn off the lights,家居环境管理,1
"Turn off the lights and adjust room temperature, if necessary",家居环境管理,1
Turn off the lights and relax,放松与情绪调节,1
Turn off unnecessary lights,家居环境管理,1
Turn off unnecessary lights and sounds to create a conducive sleep environment,睡眠相关,1
Turn off unnecessary lights to create a calm environment,放松与情绪调节,1
Unlock the door,其他,1
Verify that the home is prepared for a meal,数字设备与账号操作,1
Visualize a future filled with positive anticipation,其他,1
Wait for the eating option to be ready,饮食相关,1
Wait for the food to be served,饮食相关,1
Wait for the meal to be prepared and served,饮食相关,1
Wake up and engage in a short exercise routine,其他,1
Wake up and gather myself for social interaction,其他,1
Wake up and perform light stretching to start the day,其他,1
Wake up and prepare for the day,其他,1
Wake up naturally or with a routine,其他,1
Wash hands after eating,饮食相关,1
Wash hands after the meal,饮食相关,1
Wind down and relax before bedtime,睡眠相关,1
Wind down and relax before sleeping,睡眠相关,1
Wind down by setting a comfortable room temperature,睡眠相关,1
Wind down with a relaxing activity,睡眠相关,1
